Step,CRI Command
0,CMD Move Joint 0.0000 -40.7606 105.3917 -0.0000 70.3400 0.0000 0.0 0.0 0.0 50.0
1,CMD Move Joint 1.0346 -39.4638 105.6316 1.4158 70.5238 0.0000 0.0 0.0 0.0 50.0
2,CMD Move Joint 2.0692 -38.1671 105.8714 2.8317 70.7076 0.0000 0.0 0.0 0.0 50.0
3,CMD Move Joint 3.1039 -36.8704 106.1113 4.2475 70.8913 0.0000 0.0 0.0 0.0 50.0
4,CMD Move Joint 4.1385 -35.5737 106.3512 5.6633 71.0751 0.0000 0.0 0.0 0.0 50.0
5,CMD Move Joint 5.1731 -34.2770 106.5910 7.0792 71.2589 0.0000 0.0 0.0 0.0 50.0
6,CMD Move Joint 6.2077 -32.9803 106.8309 8.4950 71.4426 0.0000 0.0 0.0 0.0 50.0
7,CMD Move Joint 7.2423 -31.6836 107.0708 9.9108 71.6264 0.0000 0.0 0.0 0.0 50.0
8,CMD Move Joint 8.2770 -30.3869 107.3106 11.3267 71.8102 0.0000 0.0 0.0 0.0 50.0
9,CMD Move Joint 9.3116 -29.0902 107.5505 12.7425 71.9939 0.0000 0.0 0.0 0.0 50.0
10,CMD Move Joint 10.3462 -27.7935 107.7904 14.1583 72.1777 0.0000 0.0 0.0 0.0 50.0
11,CMD Move Joint 11.3808 -26.4968 108.0303 15.5742 72.3615 0.0000 0.0 0.0 0.0 50.0
12,CMD Move Joint 12.4155 -25.2001 108.2701 16.9900 72.5452 0.0000 0.0 0.0 0.0 50.0
13,CMD Move Joint 13.4501 -23.9034 108.5100 18.4058 72.7290 0.0000 0.0 0.0 0.0 50.0
14,CMD Move Joint 14.4847 -22.6067 108.7499 19.8217 72.9128 0.0000 0.0 0.0 0.0 50.0
15,CMD Move Joint 15.5193 -21.3100 108.9897 21.2375 73.0965 0.0000 0.0 0.0 0.0 50.0
16,CMD Move Joint 16.5539 -20.0133 109.2296 22.6533 73.2803 0.0000 0.0 0.0 0.0 50.0
17,CMD Move Joint 17.5886 -18.7166 109.4695 24.0692 73.4641 0.0000 0.0 0.0 0.0 50.0
18,CMD Move Joint 18.6232 -17.4199 109.7094 25.4850 73.6478 0.0000 0.0 0.0 0.0 50.0
19,CMD Move Joint 19.6578 -16.1232 109.9492 26.9008 73.8316 0.0000 0.0 0.0 0.0 50.0
20,CMD Move Joint 20.6924 -14.8265 110.1891 28.3167 74.0154 0.0000 0.0 0.0 0.0 50.0
21,CMD Move Joint 21.7270 -13.5298 110.4290 29.7325 74.1991 0.0000 0.0 0.0 0.0 50.0
22,CMD Move Joint 22.7617 -12.2331 110.6688 31.1484 74.3829 0.0000 0.0 0.0 0.0 50.0
23,CMD Move Joint 23.7963 -10.9364 110.9087 32.5642 74.5667 0.0000 0.0 0.0 0.0 50.0
24,CMD Move Joint 24.8309 -9.6397 111.1486 33.9800 74.7504 0.0000 0.0 0.0 0.0 50.0
25,CMD Move Joint 25.8655 -8.3430 111.3885 35.3959 74.9342 0.0000 0.0 0.0 0.0 50.0
26,CMD Move Joint 26.9001 -7.0463 111.6283 36.8117 75.1180 0.0000 0.0 0.0 0.0 50.0
27,CMD Move Joint 27.9348 -5.7496 111.8682 38.2275 75.3017 0.0000 0.0 0.0 0.0 50.0
28,CMD Move Joint 28.9694 -4.4529 112.1081 39.6434 75.4855 0.0000 0.0 0.0 0.0 50.0
29,CMD Move Joint 30.0040 -3.1562 112.3479 41.0592 75.6693 0.0000 0.0 0.0 0.0 50.0
