Time (s),Supply Voltage (V),Power (W),J1 Angle (deg),J2 Angle (deg),J3 Angle (deg),J4 Angle (deg),J5 Angle (deg),J6 Angle (deg),J1 X (mm),J1 Y (mm),J1 Z (mm),J2 X (mm),J2 Y (mm),J2 Z (mm),J3 X (mm),J3 Y (mm),J3 Z (mm),J4 X (mm),J4 Y (mm),J4 Z (mm),J5 X (mm),J5 Y (mm),J5 Z (mm),J6 X (mm),J6 Y (mm),J6 Z (mm),J1 Current (mA),J2 Current (mA),J3 Current (mA),J4 Current (mA),J5 Current (mA),J6 Current (mA),J1 Velocity (deg/s),J2 Velocity (deg/s),J3 Velocity (deg/s),J4 Velocity (deg/s),J5 Velocity (deg/s),J6 Velocity (deg/s),J1 Accel (deg/s^2),J2 Accel (deg/s^2),J3 Accel (deg/s^2),J4 Accel (deg/s^2),J5 Accel (deg/s^2),J6 Accel (deg/s^2)
0.0,24.0,4.752,-0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,0.0,0.0,75.0,84.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.066,24.0,4.896,-0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,0.0,0.0,78.0,87.0,0.0,39.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.192,24.0,4.68,-0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,0.0,0.0,76.0,80.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,24.0,4.8,-0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,0.0,0.0,75.0,86.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.419,24.0,5.88,-0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,0.0,48.0,75.0,83.0,0.0,39.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.528,24.0,5.184,-0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,0.0,19.0,76.0,82.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.656,24.0,5.184,-0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,0.0,19.0,76.0,82.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.771,24.0,6.936,0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,0.0,39.0,76.0,84.0,51.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.886,24.0,19.08,0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,0.0,73.0,76.0,83.0,146.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.999,24.0,13.632,0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,0.0,58.0,205.0,81.0,185.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.112,24.0,14.448,0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,0.0,49.0,284.0,84.0,146.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
1.23,24.0,12.168,0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,0.0,58.0,187.0,85.0,138.0,39.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1.347,24.0,12.048,0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,15.0,51.0,175.0,86.0,136.0,39.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
1.461,24.0,11.952,0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,19.0,51.0,178.0,84.0,127.0,39.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.214,0.214,0.0,0.0,0.214,0.0
1.577,24.0,30.96,0.0,-56.89,127.45,-0.0,10.31,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.192,0.0,280.553,25.183,0.0,360.097,86.477,0.0,381.73,150.654,0.0,392.044,46.0,300.0,171.0,85.0,253.0,39.0,0.05,0.05,-0.0,0.0,0.05,0.0,1.28,1.28,-0.432,0.0,1.496,0.0
1.682,24.0,49.728,0.01,-56.88,127.45,-0.0,10.32,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.169,-0.035,280.588,25.219,0.004,360.093,86.518,0.015,381.715,150.698,0.026,392.007,50.0,676.0,619.0,84.0,604.0,39.0,0.265,0.265,-0.086,0.0,0.308,0.0,1.695,1.695,-0.849,0.0,2.12,0.0
1.794,24.0,43.704,0.06,-56.83,127.43,-0.0,10.38,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-200.055,-0.209,280.763,25.375,0.027,360.149,86.684,0.091,381.74,150.881,0.158,391.931,9.0,485.0,839.0,85.0,364.0,39.0,0.413,0.413,-0.185,0.0,0.505,0.0,1.724,1.939,-0.428,0.0,1.938,0.0
1.899,24.0,45.672,0.1,-56.79,127.41,-0.0,10.43,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-199.964,-0.349,280.903,25.494,0.044,360.21,86.811,0.152,381.779,151.019,0.264,391.892,47.0,560.0,680.0,84.0,493.0,39.0,0.634,0.677,-0.185,0.0,0.726,0.0,1.486,1.908,-0.197,0.0,1.687,0.0
2.01,24.0,42.168,0.2,-56.68,127.39,-0.0,10.54,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-199.711,-0.697,281.286,25.87,0.09,360.24,87.22,0.304,381.712,151.463,0.529,391.6,42.0,502.0,697.0,86.0,391.0,39.0,0.726,0.817,-0.23,0.0,0.864,0.0,0.262,0.262,-0.639,0.0,1.119,0.0
2.118,24.0,46.656,0.26,-56.61,127.36,-0.0,10.62,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-199.55,-0.906,281.53,26.085,0.118,360.326,87.451,0.397,381.756,151.714,0.688,391.509,131.0,676.0,900.0,83.0,115.0,39.0,0.694,0.741,-0.324,0.0,0.972,0.0,0.573,0.377,-0.458,0.0,0.774,0.0
2.226,24.0,50.904,0.35,-56.52,127.32,-0.0,10.75,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-199.341,-1.218,281.843,26.361,0.161,360.442,87.744,0.536,381.819,152.037,0.929,391.37,356.0,659.0,773.0,84.0,210.0,39.0,0.85,0.899,-0.329,0.0,1.031,0.0,2.698,2.923,-0.393,0.0,1.787,0.0
2.33,24.0,53.88,0.44,-56.42,127.29,-0.0,10.84,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-199.108,-1.529,282.191,26.687,0.205,360.514,88.095,0.677,381.816,152.414,1.17,391.188,172.0,773.0,933.0,85.0,243.0,39.0,1.256,1.349,-0.405,0.0,1.341,0.0,2.462,3.104,-0.593,0.0,2.826,0.0
2.443,24.0,49.896,0.63,-56.22,127.23,-0.0,11.05,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-198.64,-2.184,282.885,27.339,0.301,360.657,88.798,0.976,381.808,153.171,1.684,390.787,259.0,516.0,904.0,87.0,274.0,39.0,1.357,1.549,-0.455,0.0,1.642,0.0,0.557,0.76,-0.474,0.0,1.412,0.0
2.547,24.0,50.76,0.74,-56.08,127.19,-0.0,11.2,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-198.31,-2.561,283.37,27.799,0.359,360.747,89.293,1.153,381.791,153.703,1.985,390.489,149.0,472.0,924.0,85.0,446.0,39.0,1.383,1.531,-0.507,0.0,1.669,0.0,2.806,2.56,-1.079,0.0,3.199,0.0
2.657,24.0,45.24,0.93,-55.89,127.12,-0.0,11.41,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-197.857,-3.212,284.027,28.403,0.461,360.93,89.938,1.46,381.845,154.394,2.506,390.172,85.0,563.0,816.0,86.0,296.0,39.0,1.989,2.131,-0.693,0.0,2.363,0.0,3.608,3.792,-1.276,0.0,4.432,0.0
2.764,24.0,35.016,1.17,-55.62,127.04,-0.0,11.71,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-197.208,-4.028,284.958,29.288,0.598,361.11,90.887,1.856,381.821,155.407,3.174,389.596,105.0,429.0,587.0,82.0,217.0,39.0,2.177,2.364,-0.786,0.0,2.642,0.0,0.109,0.116,-0.031,0.0,0.346,0.0
2.873,24.0,41.112,1.4,-55.38,126.95,-0.0,11.98,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-196.623,-4.805,285.783,30.051,0.734,361.342,91.698,2.241,381.892,156.268,3.819,389.193,336.0,433.0,625.0,84.0,196.0,39.0,2.006,2.148,-0.696,0.0,2.428,0.0,-0.096,-0.044,0.221,0.0,0.021,0.0
2.978,24.0,49.152,1.6,-55.16,126.89,-0.0,12.23,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-196.083,-5.477,286.538,30.781,0.86,361.463,92.48,2.583,381.84,157.094,4.388,388.68,256.0,558.0,920.0,84.0,191.0,39.0,2.145,2.339,-0.734,0.0,2.631,0.0,2.471,2.711,-0.866,0.0,2.756,0.0
3.079,24.0,57.864,1.84,-54.9,126.8,-0.0,12.52,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-195.437,-6.278,287.426,31.619,1.016,361.678,93.371,3.0,381.872,158.029,5.077,388.192,342.0,829.0,759.0,86.0,356.0,39.0,2.506,2.699,-0.871,0.0,2.989,0.0,2.764,2.73,-0.767,0.0,3.101,0.0
3.185,24.0,52.056,2.12,-54.6,126.71,-0.0,12.85,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-194.682,-7.207,288.448,32.606,1.207,361.867,94.421,3.495,381.834,159.125,5.89,387.544,334.0,579.0,783.0,86.0,348.0,39.0,2.709,2.896,-0.887,0.0,3.268,0.0,1.405,1.811,-0.516,0.0,2.201,0.0
3.293,24.0,52.704,2.42,-54.28,126.61,-0.0,13.22,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-193.866,-8.193,289.534,33.655,1.422,362.079,95.533,4.037,381.808,160.279,6.774,386.852,110.0,934.0,780.0,83.0,250.0,39.0,2.804,3.086,-0.982,0.0,3.459,0.0,0.593,1.028,-0.633,0.0,0.8,0.0
3.399,24.0,43.776,2.72,-53.94,126.5,-0.0,13.59,-0.0,0.0,0.0,150.0,0.0,0.0,150.0,-192.99,-9.169,290.683,34.766,1.652,362.313,96.709,4.594,381.794,161.489,7.672,386.158,85.0,794.0,614.0,86.0,206.0,39.0,2.837,3.119,-1.024,0.0,3.443,0.0,-1.61,-2.049,0.678,0.0,-2.282,0.0
