Step,J1 X,J1 Y,J1 Z,J2 X,J2 Y,J2 Z,J3 X,J3 Y,J3 Z,J4 X,J4 Y,J4 Z,J5 X,J5 Y,J5 Z,J6 X,J6 Y,J6 Z,Tip X,Tip Y,Tip Z
0,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-177.889808,0.000000,309.612707,52.775515,-0.000000,372.178741,115.508762,-0.000000,389.194608,180.221201,-0.000001,395.302003,230.000000,-0.000001,400.000000
1,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-177.846074,-0.054461,309.661426,52.831121,0.016178,372.183632,115.567597,0.035390,389.187579,180.283261,0.055207,395.260676,230.064540,0.070451,399.932290
2,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-177.716002,-0.216060,309.806058,52.996281,0.064431,372.198076,115.742299,0.140715,389.166617,180.467398,0.219405,395.137832,230.255935,0.279936,399.731075
3,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-177.501034,-0.481899,310.044215,53.268503,0.144619,372.221609,116.030092,0.315011,389.131779,180.770276,0.490774,394.935037,230.570416,0.625976,399.399081
4,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-177.202305,-0.848792,310.373385,53.645294,0.256959,372.253619,116.428113,0.557686,389.082972,181.188216,0.867884,394.653686,231.003680,1.106498,398.938851
5,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-176.820671,-1.313294,310.790938,54.124150,0.401994,372.293356,116.933411,0.868495,389.019955,181.717222,1.349662,394.295022,231.550923,1.719789,398.352766
6,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-176.356736,-1.871708,311.294137,54.702555,0.580569,372.339944,117.542948,1.247506,388.942360,182.352995,1.935347,393.860147,232.206878,2.464456,397.643060
7,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-175.810886,-2.520108,311.880146,55.377968,0.793799,372.392393,118.253597,1.695071,388.849698,183.090957,2.624462,393.350042,232.965848,3.339378,396.811846
8,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-175.183318,-3.254348,312.546037,56.147819,1.043048,372.449606,119.062145,2.211796,388.741372,183.926262,3.416764,392.765584,233.821737,4.343663,395.861133
9,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-174.474072,-4.070079,313.288802,57.009498,1.329901,372.510395,119.965281,2.798514,388.616686,184.853820,4.312215,392.107560,234.768081,5.476599,394.792847
