Step,J1 X,J1 Y,J1 Z,J2 X,J2 Y,J2 Z,J3 X,J3 Y,J3 Z,J4 X,J4 Y,J4 Z,J5 X,J5 Y,J5 Z,J6 X,J6 Y,J6 Z,Tip X,Tip Y,Tip Z
0,0,0,150,0,0,150,-154.293094,-0.000001,332.522988,56.405756,0,445.336972,113.70879,0,476.018599,162.482082,0,433.051566,200,-0.000001,400.000002
1,0,0,150,0,0,150,-154.255456,-0.044539,332.554793,56.473914,0.016306,445.311739,113.785249,0.032854,475.977854,162.548103,0.046933,432.998977,200.05799,0.057763,399.938302
2,0,0,150,0,0,150,-154.143551,-0.176698,332.649212,56.676275,0.064969,445.236701,114.012211,0.130694,475.856729,162.744018,0.186556,432.842687,200.230024,0.229526,399.754962
3,0,0,150,0,0,150,-153.958731,-0.394108,332.804687,57.009551,0.145935,445.112711,114.385862,0.292808,475.656734,163.066365,0.417421,432.584781,200.512905,0.513277,399.45251
4,0,0,150,0,0,150,-153.702151,-0.694172,333.019581,57.470309,0.259556,444.940458,114.902149,0.518938,475.379191,163.511365,0.738473,432.227181,200.90307,0.907346,399.033328
5,0,0,150,0,0,150,-153.374781,-1.074081,333.292179,58.054975,0.406558,444.720479,115.556791,0.809242,475.025247,164.074951,1.149013,431.771661,201.396612,1.410375,398.499671
6,0,0,150,0,0,150,-152.977434,-1.530829,333.6207,58.759841,0.588003,444.453173,116.345292,1.164255,474.595896,164.752779,1.648662,431.21986,201.989308,2.021284,397.853678
7,0,0,150,0,0,150,-152.51078,-2.061225,334.003297,59.581066,0.805255,444.138815,117.262949,1.584841,474.091989,165.54025,2.237322,430.573299,202.676636,2.739229,397.097383
8,0,0,150,0,0,150,-151.975369,-2.661912,334.438069,60.51468,1.05994,443.77757,118.304861,2.072159,473.514255,166.432522,2.915135,429.833394,203.4538,3.563577,396.232731
9,0,0,150,0,0,150,-151.371652,-3.329374,334.92306,61.556586,1.353919,443.369509,119.465939,2.627617,472.863313,167.424527,3.682451,429.00147,204.315748,4.493862,395.261592
10,0,0,150,0,0,150,-150.699997,-4.05995,335.456269,62.702557,1.689245,442.914617,120.740909,3.252834,472.139691,168.51098,4.539788,428.078778,205.257188,5.529753,394.185767
11,0,0,150,0,0,150,-149.960711,-4.84985,336.035653,63.948244,2.068138,442.412813,122.12432,3.949599,471.34384,169.686398,5.487793,427.066502,206.272612,6.67102,393.007011
12,0,0,150,0,0,150,-149.154062,-5.695161,336.659131,65.28917,2.492941,441.863957,123.610551,4.719831,470.476149,170.945109,6.527209,425.96578,207.356308,7.9175,391.727034
13,0,0,150,0,0,150,-148.280292,-6.591863,337.324591,66.720734,2.966099,441.267866,125.193816,5.565544,469.536957,172.281268,7.658836,424.777712,208.502385,9.269061,390.347524
14,0,0,150,0,0,150,-147.339641,-7.53584,338.029895,68.238214,3.490115,440.624323,126.868175,6.488806,468.526573,173.688867,8.883498,423.503376,209.704784,10.72557,388.870148
