Step,Time (s),CRI Command
0,0.0000,CMD Move Joint 12.8020 -37.7712 101.3714 12.9660 68.1160 0.0000 0.0 0.0 0.0 62.0
1,0.0333,CMD Move Joint 12.8045 -37.7644 101.3748 12.9713 68.1174 0.0000 0.0 0.0 0.0 62.0
2,0.0667,CMD Move Joint 12.8121 -37.7444 101.3849 12.9869 68.1217 0.0000 0.0 0.0 0.0 62.0
3,0.1000,CMD Move Joint 12.8247 -37.7112 101.4015 13.0128 68.1288 0.0000 0.0 0.0 0.0 62.0
4,0.1333,CMD Move Joint 12.8422 -37.6651 101.4246 13.0487 68.1386 0.0000 0.0 0.0 0.0 62.0
5,0.1667,CMD Move Joint 12.8644 -37.6064 101.4540 13.0945 68.1512 0.0000 0.0 0.0 0.0 62.0
6,0.2000,CMD Move Joint 12.8914 -37.5352 101.4897 13.1500 68.1664 0.0000 0.0 0.0 0.0 62.0
7,0.2333,CMD Move Joint 12.9230 -37.4518 101.5314 13.2150 68.1842 0.0000 0.0 0.0 0.0 62.0
8,0.2667,CMD Move Joint 12.9591 -37.3564 101.5792 13.2894 68.2046 0.0000 0.0 0.0 0.0 62.0
9,0.3000,CMD Move Joint 12.9997 -37.2493 101.6329 13.3729 68.2275 0.0000 0.0 0.0 0.0 62.0
10,0.3333,CMD Move Joint 13.0447 -37.1307 101.6923 13.4654 68.2528 0.0000 0.0 0.0 0.0 62.0
11,0.3667,CMD Move Joint 13.0939 -37.0007 101.7574 13.5667 68.2806 0.0000 0.0 0.0 0.0 62.0
12,0.4000,CMD Move Joint 13.1474 -36.8597 101.8281 13.6766 68.3108 0.0000 0.0 0.0 0.0 62.0
13,0.4333,CMD Move Joint 13.2049 -36.7078 101.9042 13.7950 68.3432 0.0000 0.0 0.0 0.0 62.0
14,0.4667,CMD Move Joint 13.2665 -36.5454 101.9856 13.9217 68.3779 0.0000 0.0 0.0 0.0 62.0
15,0.5000,CMD Move Joint 13.3320 -36.3725 102.0722 14.0565 68.4149 0.0000 0.0 0.0 0.0 62.0
16,0.5333,CMD Move Joint 13.4014 -36.1894 102.1640 14.1992 68.4540 0.0000 0.0 0.0 0.0 62.0
17,0.5667,CMD Move Joint 13.4746 -35.9964 102.2607 14.3497 68.4952 0.0000 0.0 0.0 0.0 62.0
18,0.6000,CMD Move Joint 13.5514 -35.7936 102.3623 14.5078 68.5386 0.0000 0.0 0.0 0.0 62.0
19,0.6333,CMD Move Joint 13.6318 -35.5814 102.4686 14.6733 68.5839 0.0000 0.0 0.0 0.0 62.0
20,0.6667,CMD Move Joint 13.7158 -35.3599 102.5796 14.8460 68.6313 0.0000 0.0 0.0 0.0 62.0
21,0.7000,CMD Move Joint 13.8031 -35.1294 102.6951 15.0257 68.6805 0.0000 0.0 0.0 0.0 62.0
22,0.7333,CMD Move Joint 13.8938 -34.8900 102.8150 15.2123 68.7317 0.0000 0.0 0.0 0.0 62.0
23,0.7667,CMD Move Joint 13.9878 -34.6421 102.9393 15.4056 68.7847 0.0000 0.0 0.0 0.0 62.0
24,0.8000,CMD Move Joint 14.0849 -34.3857 103.0677 15.6055 68.8394 0.0000 0.0 0.0 0.0 62.0
25,0.8333,CMD Move Joint 14.1851 -34.1213 103.2002 15.8116 68.8959 0.0000 0.0 0.0 0.0 62.0
26,0.8667,CMD Move Joint 14.2884 -33.8489 103.3366 16.0240 68.9541 0.0000 0.0 0.0 0.0 62.0
27,0.9000,CMD Move Joint 14.3945 -33.5689 103.4770 16.2423 69.0140 0.0000 0.0 0.0 0.0 62.0
28,0.9333,CMD Move Joint 14.5034 -33.2814 103.6210 16.4665 69.0754 0.0000 0.0 0.0 0.0 62.0
29,0.9667,CMD Move Joint 14.6151 -32.9866 103.7687 16.6963 69.1384 0.0000 0.0 0.0 0.0 62.0
30,1.0000,CMD Move Joint 14.7295 -32.6849 103.9199 16.9315 69.2029 0.0000 0.0 0.0 0.0 62.0
31,1.0333,CMD Move Joint 14.8464 -32.3763 104.0745 17.1721 69.2688 0.0000 0.0 0.0 0.0 62.0
32,1.0667,CMD Move Joint 14.9658 -32.0613 104.2324 17.4177 69.3362 0.0000 0.0 0.0 0.0 62.0
33,1.1000,CMD Move Joint 15.0876 -31.7398 104.3934 17.6683 69.4049 0.0000 0.0 0.0 0.0 62.0
34,1.1333,CMD Move Joint 15.2117 -31.4123 104.5575 17.9237 69.4748 0.0000 0.0 0.0 0.0 62.0
35,1.1667,CMD Move Joint 15.3381 -31.0789 104.7245 18.1836 69.5461 0.0000 0.0 0.0 0.0 62.0
36,1.2000,CMD Move Joint 15.4666 -30.7399 104.8944 18.4479 69.6185 0.0000 0.0 0.0 0.0 62.0
37,1.2333,CMD Move Joint 15.5971 -30.3954 105.0670 18.7165 69.6922 0.0000 0.0 0.0 0.0 62.0
38,1.2667,CMD Move Joint 15.7296 -30.0457 105.2422 18.9891 69.7669 0.0000 0.0 0.0 0.0 62.0
39,1.3000,CMD Move Joint 15.8640 -29.6911 105.4199 19.2656 69.8427 0.0000 0.0 0.0 0.0 62.0
40,1.3333,CMD Move Joint 16.0002 -29.3317 105.6000 19.5458 69.9195 0.0000 0.0 0.0 0.0 62.0
41,1.3667,CMD Move Joint 16.1381 -28.9678 105.7823 19.8296 69.9972 0.0000 0.0 0.0 0.0 62.0
42,1.4000,CMD Move Joint 16.2777 -28.5996 105.9668 20.1166 70.0759 0.0000 0.0 0.0 0.0 62.0
43,1.4333,CMD Move Joint 16.4188 -28.2273 106.1534 20.4069 70.1555 0.0000 0.0 0.0 0.0 62.0
44,1.4667,CMD Move Joint 16.5613 -27.8511 106.3418 20.7001 70.2359 0.0000 0.0 0.0 0.0 62.0
45,1.5000,CMD Move Joint 16.7052 -27.4714 106.5321 20.9962 70.3170 0.0000 0.0 0.0 0.0 62.0
46,1.5333,CMD Move Joint 16.8504 -27.0883 106.7240 21.2949 70.3989 0.0000 0.0 0.0 0.0 62.0
47,1.5667,CMD Move Joint 16.9968 -26.7020 106.9176 21.5961 70.4814 0.0000 0.0 0.0 0.0 62.0
48,1.6000,CMD Move Joint 17.1443 -26.3127 107.1126 21.8995 70.5646 0.0000 0.0 0.0 0.0 62.0
49,1.6333,CMD Move Joint 17.2928 -25.9208 107.3090 22.2051 70.6484 0.0000 0.0 0.0 0.0 62.0
50,1.6667,CMD Move Joint 17.4423 -25.5264 107.5066 22.5126 70.7326 0.0000 0.0 0.0 0.0 62.0
51,1.7000,CMD Move Joint 17.5926 -25.1297 107.7054 22.8219 70.8174 0.0000 0.0 0.0 0.0 62.0
52,1.7333,CMD Move Joint 17.7437 -24.7309 107.9052 23.1328 70.9026 0.0000 0.0 0.0 0.0 62.0
53,1.7667,CMD Move Joint 17.8955 -24.3304 108.1059 23.4451 70.9882 0.0000 0.0 0.0 0.0 62.0
54,1.8000,CMD Move Joint 18.0479 -23.9283 108.3073 23.7586 71.0742 0.0000 0.0 0.0 0.0 62.0
55,1.8333,CMD Move Joint 18.2008 -23.5248 108.5095 24.0731 71.1604 0.0000 0.0 0.0 0.0 62.0
56,1.8667,CMD Move Joint 18.3542 -23.1202 108.7122 24.3886 71.2468 0.0000 0.0 0.0 0.0 62.0
57,1.9000,CMD Move Joint 18.5078 -22.7147 108.9154 24.7047 71.3335 0.0000 0.0 0.0 0.0 62.0
58,1.9333,CMD Move Joint 18.6618 -22.3085 109.1189 25.0214 71.4203 0.0000 0.0 0.0 0.0 62.0
59,1.9667,CMD Move Joint 18.8159 -21.9019 109.3227 25.3385 71.5072 0.0000 0.0 0.0 0.0 62.0
60,2.0000,CMD Move Joint 18.9701 -21.4950 109.5265 25.6557 71.5941 0.0000 0.0 0.0 0.0 62.0
61,2.0333,CMD Move Joint 19.1242 -21.0881 109.7304 25.9729 71.6811 0.0000 0.0 0.0 0.0 62.0
62,2.0667,CMD Move Joint 19.2783 -20.6815 109.9341 26.2899 71.7680 0.0000 0.0 0.0 0.0 62.0
63,2.1000,CMD Move Joint 19.4323 -20.2753 110.1377 26.6066 71.8548 0.0000 0.0 0.0 0.0 62.0
64,2.1333,CMD Move Joint 19.5860 -19.8698 110.3408 26.9228 71.9414 0.0000 0.0 0.0 0.0 62.0
65,2.1667,CMD Move Joint 19.7393 -19.4652 110.5436 27.2382 72.0279 0.0000 0.0 0.0 0.0 62.0
66,2.2000,CMD Move Joint 19.8922 -19.0617 110.7457 27.5528 72.1141 0.0000 0.0 0.0 0.0 62.0
67,2.2333,CMD Move Joint 20.0446 -18.6596 110.9472 27.8663 72.2001 0.0000 0.0 0.0 0.0 62.0
68,2.2667,CMD Move Joint 20.1964 -18.2590 111.1479 28.1786 72.2856 0.0000 0.0 0.0 0.0 62.0
69,2.3000,CMD Move Joint 20.3475 -17.8603 111.3477 28.4894 72.3709 0.0000 0.0 0.0 0.0 62.0
